Comments,Surrounding Code Context,Class
This function implements the merge sort algorithm on the input array.,def merge_sort(arr): if len(arr) > 1: mid = len(arr) // 2; L = arr[:mid]; R = arr[mid:]; merge_sort(L); merge_sort(R); i = j = k = 0; while i < len(L) and j < len(R): if L[i] < R[j]: arr[k] = L[i]; i += 1; else: arr[k] = R[j]; j += 1; k += 1; while i < len(L): arr[k] = L[i]; i += 1; k += 1; while j < len(R): arr[k] = R[j]; j += 1; k += 1,Useful
This function delays the execution of a given function until after a specified wait time.,"function debounce(func, wait) { let timeout; return function executedFunction(...args) { const later = () => { timeout = null; if (args) func(...args); }; clearTimeout(timeout); timeout = setTimeout(later, wait); }; };",Useful
Defines a binary tree node structure with left and right child pointers.,"struct Node { int data; Node* left; Node* right; Node(int val) : data(val), left(nullptr), right(nullptr) {} };",Useful
Calculates the factorial of a given number using a range and product.,pub fn factorial(n: u64) -> u64 { (1..=n).product() },Useful
Fetches data from a given URL asynchronously and returns the parsed JSON.,async function fetchData(url) { const response = await fetch(url); const data = await response.json(); return data; },Useful
Implements the quick sort algorithm to sort an array.,def quick_sort(arr): if len(arr) <= 1: return arr; pivot = arr[len(arr) // 2]; left = [x for x in arr if x < pivot]; middle = [x for x in arr if x == pivot]; right = [x for x in arr if x > pivot]; return quick_sort(left) + middle + quick_sort(right),Useful
Limits the rate at which a function can be executed to a specified limit.,"function throttle(func, limit) { let lastFunc; let lastRan; return function() { const context = this; const args = arguments; if (!lastRan) { func.apply(context, args); lastRan = Date.now(); } else { clearTimeout(lastFunc); lastFunc = setTimeout(function() { if ((Date.now() - lastRan) >= limit) { func.apply(context, args); lastRan = Date.now(); } }, limit - (Date.now() - lastRan)); } };",Useful
"Defines a generic stack class that supports push, pop, and is_empty operations.","template<typename T> class Stack { private: std::vector<T> elements; public: void push(const T& element) { elements.push_back(element); } T pop() { if(elements.empty()) throw std::out_of_range(""Stack<>::pop(): empty stack""); T elem = elements.back(); elements.pop_back(); return elem; } bool is_empty() const { return elements.empty(); } };",Useful
Calculates the nth Fibonacci number using recursion.,"fn fibonacci(n: u32) -> u32 { match n { 0 => 0, 1 => 1, _ => fibonacci(n - 1) + fibonacci(n - 2) } }",Useful
Creates a linked list with an append method to add values to the list.,"class LinkedList { constructor() { this.head = null; } append(value) { let newNode = { value, next: null }; if (!this.head) { this.head = newNode; return; } let current = this.head; while (current.next) { current = current.next; } current.next = newNode; } }",Useful
Implements the dynamic programming solution to the 0/1 knapsack problem.,"def knapsack(weights, values, capacity): n = len(values); K = [[0 for _ in range(capacity + 1)] for _ in range(n + 1)]; for i in range(n + 1): for w in range(capacity + 1): if i == 0 or w == 0: K[i][w] = 0; elif weights[i-1] <= w: K[i][w] = max(values[i-1] + K[i-1][w-weights[i-1]], K[i-1][w]); else: K[i][w] = K[i-1][w]; return K[n][capacity]",Useful
Loads an image from a URL and returns a promise that resolves with the image.,"async function loadImage(url) { const img = new Image(); img.src = url; return new Promise((resolve, reject) => { img.onload = () => resolve(img); img.onerror = reject; }); }",Useful
Defines a binary tree class with a method to insert new values.,"class BinaryTree { constructor(value) { this.root = { value, left: null, right: null }; } insert(value) { const insertNode = (node, value) => { if (!node) return { value, left: null, right: null }; if (value < node.value) { node.left = insertNode(node.left, value); } else { node.right = insertNode(node.right, value); } return node; }; this.root = insertNode(this.root, value); } }",Useful
Implements binary search algorithm to find the index of a target value in a sorted array.,"def binary_search(arr, target): left, right = 0, len(arr) - 1; while left <= right: mid = (left + right) // 2; if arr[mid] == target: return mid; elif arr[mid] < target: left = mid + 1; else: right = mid - 1; return -1",Useful
Checks if a given string is a palindrome.,function isPalindrome(str) { const reversed = str.split('').reverse().join(''); return str === reversed; },Useful
Implements the quicksort algorithm in C++ to sort an array.,"template<typename T> void quicksort(std::vector<T>& arr, int left, int right) { int i = left, j = right; T pivot = arr[(left + right) / 2]; while (i <= j) { while (arr[i] < pivot) i++; while (arr[j] > pivot) j--; if (i <= j) { std::swap(arr[i], arr[j]); i++; j--; } } if (left < j) quicksort(arr, left, j); if (i < right) quicksort(arr, i, right); }",Useful
